ProviderName,NHG,CountryCode,LoanType,ValidSince,Period,ProductName,Rate,CoverageEnd,CoverageStart,CheckDate
ING,N,NL,Lineaire hypotheek,2017-10-13,15 ,INGLineaire hypotheek,2.8,75,,2017-10-22
ING,Y,NL,Lineaire hypotheek,2017-10-13,20 ,INGLineaire hypotheek,2.75,,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,20 ,INGLineaire hypotheek,2.7,55,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,20 ,INGLineaire hypotheek,2.75,60,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,20 ,INGLineaire hypotheek,2.8,65,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,20 ,INGLineaire hypotheek,2.85,70,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,20 ,INGLineaire hypotheek,2.9,75,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.89,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.94,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,1.99,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,2.04,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,2.24,101,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,1 ,INGLineaire hypotheek,2.94,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.92,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,1.97,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,2.02,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,2.07,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,2.27,101,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,2 ,INGLineaire hypotheek,2.97,,101,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.94,80,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,1.99,85,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,2.04,90,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,2.09,95,,2017-10-22
ING,N,NL,Lineaire hypotheek,2017-10-13,3 ,INGLineaire hypotheek,2.29,101,,2017-10-22
